Species,State
Cryptobranchus_alleganiensis,0
Andrias_davidianus,0
Andrias_japonicus,0
Onychodactylus_japonicus,0
Onychodactylus_fischeri,0
Salamandrella_keyserlingii,0
Pachyhynobius_shangchengensis,0
Batrachuperus_yenyuanensis,0
Batrachuperus_karlschmidti,0
Batrachuperus_tibetanus,0
Batrachuperus_londongensis,0
Batrachuperus_pinchonii,0
Liua_shihi,0
Liua_tsinpaensis,0
Pseudohynobius_shuichengensis,0
Pseudohynobius_flavomaculatus,0
Paradactylodon_persicus,0
Paradactylodon_gorganensis,0
Paradactylodon_mustersi,0
Ranodon_sibiricus,0
Hynobius_retardatus,0
Hynobius_hidamontanus,0
Hynobius_yiwuensis,0
Hynobius_guabangshanensis,0
Hynobius_maoershanensis,0
Hynobius_chinensis,0
Hynobius_nebulosus,0
Hynobius_stejnegeri,0
Hynobius_takedai,0
Hynobius_nigrescens,0
Hynobius_tokyoensis,0
Hynobius_abei,0
Hynobius_lichenatus,0
Hynobius_yangi,0
Hynobius_leechii,0
Hynobius_quelpaertensis,0
Hynobius_dunni,0
Hynobius_tsuensis,0
Hynobius_okiensis,0
Hynobius_katoi,0
Hynobius_amjiensis,0
Hynobius_naevius,0
Hynobius_kimurae,0
Hynobius_boulengeri,0
Hynobius_fuca,0
Hynobius_glacialis,0
Hynobius_sonani,0
Hynobius_arisanensis,0
Hynobius_formosanus,0
Siren_lacertina,0
Siren_intermedia,0
Pseudobranchus_axanthus,0
Pseudobranchus_striatus,0
Ambystoma_cingulatum,0
Ambystoma_opacum,0
Ambystoma_californiense,1
Ambystoma_tigrinum,1
Ambystoma_dumerilii,0
Ambystoma_ordinarium,0
Ambystoma_andersoni,0
Ambystoma_mexicanum,0
Ambystoma_talpoideum,0
Ambystoma_macrodactylum,0
Ambystoma_jeffersonianum,1
Ambystoma_laterale,1
Ambystoma_maculatum,0
Ambystoma_mabeei,0
Ambystoma_barbouri,1
Ambystoma_texanum,1
Ambystoma_gracile,0
Dicamptodon_tenebrosus,1
Dicamptodon_copei,1
Dicamptodon_aterrimus,0
Dicamptodon_ensatus,0
Salamandrina_perspicillata,0
Salamandrina_terdigitata,0
Notophthalmus_meridionalis,0
Notophthalmus_viridescens,0
Notophthalmus_perstriatus,0
Taricha_rivularis,1
Taricha_granulosa,1
Taricha_torosa,1
Ommatotriton_ophryticus,0
Ommatotriton_vittatus,0
Neurergus_kaiseri,0
Neurergus_microspilotus,0
Neurergus_crocatus,0
Neurergus_strauchii,0
Calotriton_asper,0
Calotriton_arnoldi,0
Triturus_carnifex,1
Triturus_cristatus,1
Triturus_karelinii,0
Triturus_dobrogicus,1
Triturus_pygmaeus,0
Triturus_marmoratus,1
Ichthyosaura_alpestris,0
Laotriton_laoensis,0
Pachytriton_brevipes,0
Pachytriton_labiatus,0
Paramesotriton_chinensis,0
Paramesotriton_hongkongensis,0
Paramesotriton_fuzhongensis,0
Paramesotriton_guangxiensis,0
Paramesotriton_deloustali,0
Paramesotriton_zhijinensis,0
Paramesotriton_caudopunctatus,0
Cynops_ensicauda,0
Cynops_pyrrhogaster,0
Cynops_orientalis,0
Cynops_orphicus,0
Cynops_cyanurus,0
Euproctus_montanus,0
Euproctus_platycephalus,0
Lissotriton_montandoni,1
Lissotriton_vulgaris,1
Lissotriton_helveticus,0
Lissotriton_italicus,0
Lissotriton_boscai,0
Pleurodeles_nebulosus,0
Pleurodeles_poireti,0
Pleurodeles_waltl,0
Echinotriton_chinhaiensis,0
Echinotriton_andersoni,0
Tylototriton_taliangensis,0
Tylototriton_shanjing,0
Tylototriton_kweichowensis,0
Tylototriton_verrucosus,0
Tylototriton_wenxianensis,0
Tylototriton_asperrimus,0
Lyciasalamandra_luschani,0
Lyciasalamandra_helverseni,0
Lyciasalamandra_atifi,0
Lyciasalamandra_billae,1
Lyciasalamandra_antalyana,1
Lyciasalamandra_flavimembris,0
Lyciasalamandra_fazilae,0
Salamandra_infraimmaculata,0
Salamandra_algira,0
Salamandra_salamandra,0
Salamandra_atra,0
Salamandra_lanzai,0
Salamandra_corsica,0
Mertensiella_caucasica,0
Chioglossa_lusitanica,0
Rhyacotriton_variegatus,0
Rhyacotriton_olympicus,0
Rhyacotriton_cascadae,0
Rhyacotriton_kezeri,0
Hemidactylium_scutatum,0
Batrachoseps_campi,0
Batrachoseps_wrighti,0
Batrachoseps_relictus,0
Batrachoseps_kawia,0
Batrachoseps_regius,0
Batrachoseps_diabolicus,0
Batrachoseps_gregarius,0
Batrachoseps_nigriventris,0
Batrachoseps_simatus,0
Batrachoseps_attenuatus,0
Batrachoseps_gabrieli,0
Batrachoseps_pacificus,0
Batrachoseps_major,0
Batrachoseps_gavilanensis,1
Thorius_minutissimus,0
Thorius_dubitus,0
Thorius_troglodytes,0
Chiropterotriton_arboreus,0
Chiropterotriton_chondrostega,0
Chiropterotriton_terrestris,0
Chiropterotriton_priscus,0
Chiropterotriton_magnipes,0
Chiropterotriton_cracens,0
Chiropterotriton_multidentatus,0
Chiropterotriton_dimidiatus,0
Chiropterotriton_lavae,0
Chiropterotriton_orculus,0
Bolitoglossa_hartwegi,0
Bolitoglossa_platydactyla,0
Bolitoglossa_flaviventris,0
Bolitoglossa_mexicana,0
Bolitoglossa_odonnelli,0
Bolitoglossa_lignicolor,0
Bolitoglossa_yucatana,0
Bolitoglossa_mombachoensis,0
Bolitoglossa_striatula,0
Bolitoglossa_occidentalis,0
Bolitoglossa_rufescens,0
Bolitoglossa_robusta,0
Bolitoglossa_colonnea,0
Bolitoglossa_schizodactyla,0
Bolitoglossa_sima,0
Bolitoglossa_biseriata,0
Bolitoglossa_medemi,0
Bolitoglossa_adspersa,0
Bolitoglossa_palmata,0
Bolitoglossa_equatoriana,0
Bolitoglossa_peruviana,0
Bolitoglossa_altamazonica,0
Bolitoglossa_paraensis,0
Bolitoglossa_subpalmata,0
Bolitoglossa_pesrubra,0
Bolitoglossa_gracilis,0
Bolitoglossa_epimela,0
Bolitoglossa_marmorea,0
Bolitoglossa_minutula,0
Bolitoglossa_sooyorum,0
Bolitoglossa_cerroensis,0
Bolitoglossa_lincolni,1
Bolitoglossa_franklini,1
Bolitoglossa_carri,0
Bolitoglossa_conanti,0
Bolitoglossa_diaphora,0
Bolitoglossa_dunni,0
Bolitoglossa_flavimembris,0
Bolitoglossa_morio,0
Bolitoglossa_synoria,0
Bolitoglossa_celaque,0
Bolitoglossa_decora,0
Bolitoglossa_longissima,0
Bolitoglossa_porrasorum,0
Bolitoglossa_helmrichi,0
Bolitoglossa_rostrata,0
Bolitoglossa_engelhardti,0
Bolitoglossa_macrinii,0
Bolitoglossa_oaxacensis,0
Bolitoglossa_riletti,0
Bolitoglossa_hermosa,0
Bolitoglossa_zapoteca,0
Bolitoglossa_dofleini,0
Bolitoglossa_alvaradoi,0
Lineatriton_orchileucos,0
Lineatriton_lineolus,0
Pseudoeurycea_lynchi,0
Pseudoeurycea_leprosa,0
Pseudoeurycea_firscheini,0
Pseudoeurycea_werleri,0
Pseudoeurycea_conanti,0
Pseudoeurycea_obesa,0
Pseudoeurycea_mystax,0
Pseudoeurycea_nigromaculata,0
Pseudoeurycea_unguidentis,0
Pseudoeurycea_saltator,0
Pseudoeurycea_juarezi,0
Pseudoeurycea_ruficauda,0
Pseudoeurycea_robertsi,0
Pseudoeurycea_altamontana,0
Pseudoeurycea_longicauda,0
Pseudoeurycea_tenchalli,0
Pseudoeurycea_melanomolga,0
Pseudoeurycea_gadovii,0
Pseudoeurycea_brunnata,0
Pseudoeurycea_goebeli,0
Pseudoeurycea_exspectata,0
Pseudoeurycea_anitae,0
Pseudoeurycea_cochranae,0
Pseudoeurycea_smithi,0
Pseudoeurycea_papenfussi,0
Ixalotriton_parvus,0
Ixalotriton_niger,0
Pseudoeurycea_rex,0
Pseudoeurycea_cephalica,0
Pseudoeurycea_scandens,0
Pseudoeurycea_galeanae,0
Pseudoeurycea_maxima,0
Pseudoeurycea_boneti,0
Pseudoeurycea_bellii,0
Pseudoeurycea_gigantea,0
Pseudoeurycea_naucampatepetl,0
Parvimolge_townsendi,0
Nyctanolis_pernix,0
Dendrotriton_rabbi,0
Cryptotriton_alvarezdeltoroi,0
Cryptotriton_veraepacis,0
Cryptotriton_nasalis,0
Bradytriton_silus,0
Oedipina_gephyra,0
Oedipina_elongata,0
Oedipina_carablanca,0
Oedipina_poelzi,0
Oedipina_leptopoda,0
Oedipina_uniformis,0
Oedipina_pacificensis,0
Oedipina_gracilis,0
Oedipina_collaris,0
Oedipina_cyclocauda,0
Oedipina_pseudouniformis,0
Oedipina_grandis,0
Oedipina_stenopodia,0
Oedipina_alleni,0
Oedipina_savagei,0
Oedipina_complex,0
Oedipina_parvipes,0
Oedipina_maritima,0
Oedipina_kasios,0
Oedipina_quadra,0
Nototriton_lignicola,0
Nototriton_limnospectator,0
Nototriton_barbouri,0
Nototriton_brodiei,0
Nototriton_richardi,0
Nototriton_picadoi,0
Nototriton_abscondens,0
Nototriton_gamezi,0
Nototriton_guanacaste,0
Stereochilus_marginatus,0
Pseudotriton_montanus,0
Pseudotriton_ruber,0
Gyrinophilus_porphyriticus,0
Gyrinophilus_palleucus,0
Gyrinophilus_gulolineatus,0
Urspelerpes_brucei,0
Haideotriton_wallacei,0
Eurycea_longicauda,0
Eurycea_lucifuga,0
Eurycea_cirrigera,1
Eurycea_wilderae,1
Eurycea_bislineata,0
Eurycea_aquatica,0
Eurycea_junaluska,0
Eurycea_rathbuni,0
Eurycea_waterlooensis,0
Eurycea_troglodytes,0
Eurycea_sosorum,0
Eurycea_neotenes,1
Eurycea_latitans,0
Eurycea_tridentifera,1
Eurycea_pterophila,0
Eurycea_nana,0
Eurycea_naufragia,0
Eurycea_chisholmensis,0
Eurycea_tonkawae,0
Eurycea_quadridigitata,0
Eurycea_multiplicata,0
Eurycea_tynerensis,0
Eurycea_spelaea,0
Plethodon_larselli,0
Plethodon_idahoensis,0
Plethodon_vandykei,0
Plethodon_dunni,0
Plethodon_vehiculum,0
Plethodon_asupak,0
Plethodon_elongatus,0
Plethodon_stormi,0
Plethodon_neomexicanus,0
Plethodon_websteri,0
Plethodon_wehrlei,0
Plethodon_punctatus,0
Plethodon_ventralis,0
Plethodon_dorsalis,0
Plethodon_angusticlavius,0
Plethodon_welleri,0
Plethodon_petraeus,1
Plethodon_cheoah,1
Plethodon_aureolus,1
Plethodon_teyahalee,1
Plethodon_cylindraceus,1
Plethodon_glutinosus,1
Plethodon_chattahoochee,1
Plethodon_variolatus,0
Plethodon_chlorobryonis,1
Plethodon_meridianus,0
Plethodon_amplus,0
Plethodon_montanus,1
Plethodon_metcalfi,1
Plethodon_kentucki,1
Plethodon_shermani,1
Plethodon_kiamichi,0
Plethodon_mississippi,0
Plethodon_kisatchie,0
Plethodon_grobmani,0
Plethodon_savannah,0
Plethodon_ocmulgee,0
Plethodon_albagula,0
Plethodon_sequoyah,0
Plethodon_yonahlossee,1
Plethodon_jordani,1
Plethodon_caddoensis,0
Plethodon_fourchensis,0
Plethodon_ouachitae,0
Plethodon_serratus,0
Plethodon_virginia,0
Plethodon_cinereus,0
Plethodon_shenandoah,0
Plethodon_richmondi,0
Plethodon_electromorphus,0
Plethodon_hubrichti,0
Plethodon_nettingi,0
Plethodon_hoffmani,0
Hydromantes_genei,0
Hydromantes_strinatii,0
Hydromantes_ambrosii,1
Hydromantes_italicus,1
Hydromantes_imperialis,0
Hydromantes_supramontis,0
Hydromantes_flavus,0
Hydromantes_shastae,0
Hydromantes_platycephalus,0
Hydromantes_brunus,0
Karsenia_koreana,0
Desmognathus_wrighti,0
Desmognathus_carolinensis,1
Desmognathus_monticola,0
Desmognathus_brimleyorum,0
Desmognathus_santeetlah,1
Desmognathus_conanti,1
Desmognathus_apalachicolae,0
Desmognathus_ocoee,0
Desmognathus_orestes,1
Desmognathus_ochrophaeus,1
Desmognathus_planiceps,0
Desmognathus_welteri,0
Desmognathus_auriculatus,0
Desmognathus_fuscus,1
Desmognathus_imitator,0
Desmognathus_aeneus,0
Desmognathus_marmoratus,0
Desmognathus_quadramaculatus,0
Desmognathus_folkertsi,0
Phaeognathus_hubrichti,0
Aneides_hardii,0
Aneides_lugubris,0
Aneides_flavipunctatus,0
Aneides_ferreus,1
Aneides_vagrans,1
Aneides_aeneus,0
Ensatina_eschscholtzii,0
Amphiuma_tridactylum,1
Amphiuma_means,1
Amphiuma_pholeter,0
Proteus_anguinus,0
Necturus_lewisi,0
Necturus_beyeri,0
Necturus_maculosus,0
Necturus_alabamensis,0
Necturus_punctatus,0
